2017.09.10 19:53:18.978   Player found, idx:3
2017.09.10 19:53:18.979   Stuff found, idx:27
2017.09.10 19:53:19.061   Player found, idx:1
2017.09.10 19:53:19.062   Stuff found, idx:27
2017.09.10 19:53:19.344   Player found, idx:3
2017.09.10 19:53:19.345   Stuff found, idx:27
2017.09.10 19:53:19.445   Player found, idx:1
2017.09.10 19:53:19.446   Stuff found, idx:27
2017.09.10 19:53:19.728   Player found, idx:3
2017.09.10 19:53:19.729   Stuff found, idx:27
2017.09.10 19:53:19.811   Player found, idx:1
2017.09.10 19:53:19.812   Stuff found, idx:27
2017.09.10 19:53:20.095   Player found, idx:3
2017.09.10 19:53:20.096   Stuff found, idx:27
2017.09.10 19:53:20.195   Player found, idx:1
2017.09.10 19:53:20.196   Stuff found, idx:27
2017.09.10 19:53:20.478   Player found, idx:3
2017.09.10 19:53:20.478   Stuff found, idx:27
2017.09.10 19:53:20.562   Player found, idx:1
2017.09.10 19:53:20.562   Stuff found, idx:27
2017.09.10 19:53:20.845   Player found, idx:3
2017.09.10 19:53:20.846   Stuff found, idx:27
2017.09.10 19:53:20.945   Player found, idx:1
2017.09.10 19:53:20.945   Stuff found, idx:26
2017.09.10 19:53:21.228   Player found, idx:3
2017.09.10 19:53:21.228   Stuff found, idx:27
2017.09.10 19:53:21.407   Player found, idx:1
2017.09.10 19:53:21.407   Stuff found, idx:26
2017.09.10 19:53:21.645   Player found, idx:3
2017.09.10 19:53:21.645   Stuff found, idx:27
2017.09.10 19:53:21.745   Player found, idx:1
2017.09.10 19:53:21.745   Stuff found, idx:26
2017.09.10 19:53:22.012   Player found, idx:3
2017.09.10 19:53:22.012   Stuff found, idx:27
2017.09.10 19:53:22.112   Player found, idx:1
2017.09.10 19:53:22.112   Stuff found, idx:26
2017.09.10 19:53:22.395   Player found, idx:3
2017.09.10 19:53:22.396   Stuff found, idx:27
2017.09.10 19:53:22.495   Player found, idx:1
2017.09.10 19:53:22.495   Stuff found, idx:26
2017.09.10 19:53:22.762   Player found, idx:3
2017.09.10 19:53:22.762   Stuff found, idx:27
2017.09.10 19:53:22.862   Player found, idx:1
2017.09.10 19:53:22.862   Stuff found, idx:26
2017.09.10 19:53:23.294   Player found, idx:3
2017.09.10 19:53:23.294   Stuff found, idx:27
2017.09.10 19:53:23.333   Player found, idx:1
2017.09.10 19:53:23.334   Stuff found, idx:26
2017.09.10 19:53:23.611   Player found, idx:3
2017.09.10 19:53:23.612   Stuff found, idx:27
2017.09.10 19:53:23.712   Player found, idx:1
